date,weekday,target_delta,call_strike,put_strike,actual_call_delta,actual_put_delta,strike_width,entry_gamma,entry_theta,iv,call_entry_price,put_entry_price,straddle_cost,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,peak_pnl,trough_pnl,peak_time,trough_time,total_minutes
2026-03-04,Wednesday,0.1,609.0,604.0,0.069,-0.15,5.0,18.4567,-5.7989,0.25,0.0598,0.1548,21.46,6,2.71,107.76,15.18,63.8,39.94,113.85,-8.03,16:00,14:33,76
2026-03-09,Monday,0.1,599.0,593.0,0.129,-0.105,6.0,15.5875,-4.7442,0.25,0.1627,0.1261,28.88,11,3.98,189.65,139.05,57.77,3.54,207.67,-5.61,15:34,13:32,146
2026-03-11,Wednesday,0.1,613.0,607.0,0.136,-0.109,6.0,15.7277,-5.0145,0.25,0.1767,0.1359,31.26,8,3.48,142.2,56.6,65.66,32.21,161.18,-13.07,15:34,13:59,149
2026-03-16,Monday,0.1,603.0,597.0,0.107,-0.13,6.0,15.635,-4.8151,0.25,0.1306,0.1645,29.5,2,0.72,34.9,13.62,32.87,-1.28,54.9,-7.89,15:24,13:52,123
2026-03-18,Wednesday,0.1,605.0,598.0,0.079,-0.09,7.0,12.1625,-3.7655,0.25,0.0903,0.1055,19.58,2,0.65,44.54,-7.67,22.27,40.16,51.92,-15.37,15:19,14:16,93
2026-03-25,Wednesday,0.1,593.0,587.0,0.094,-0.138,6.0,15.5633,-4.6309,0.25,0.1086,0.1747,28.33,7,2.47,174.0,47.4,-8.15,145.2,185.4,-9.97,15:44,13:45,151
2026-03-30,Monday,0.1,570.0,564.0,0.092,-0.12,6.0,15.2291,-4.1872,0.25,0.1021,0.1411,24.31,8,3.31,91.5,38.78,23.91,41.4,117.81,-6.19,15:51,13:33,151
2026-04-01,Wednesday,0.1,585.0,578.0,0.071,-0.084,7.0,11.7778,-3.4075,0.25,0.0769,0.0939,17.08,5,2.21,96.94,110.9,5.64,-8.66,117.62,-5.07,14:55,13:30,143
2026-04-06,Monday,0.1,591.0,585.0,0.095,-0.134,6.0,15.529,-4.5903,0.25,0.1105,0.1681,27.86,3,1.17,89.13,69.66,27.04,3.13,103.34,-6.11,15:01,13:35,151
2026-04-09,Thursday,0.1,609.0,603.0,0.107,-0.135,6.0,15.7015,-4.9318,0.25,0.131,0.1752,30.62,2,0.69,22.34,15.21,-6.29,23.7,33.67,-12.99,15:55,14:05,150
2026-02-04,Wednesday,0.15,615.0,611.0,0.189,-0.133,4.0,24.1871,-7.7904,0.25,0.2075,0.1344,34.19,10,3.84,189.05,64.0,62.3,75.23,196.46,-7.66,16:00,14:37,89
2026-02-09,Monday,0.15,608.0,604.0,0.144,-0.169,4.0,24.2,-7.6045,0.25,0.1466,0.1792,32.58,2,1.38,134.2,45.02,43.1,63.16,148.25,-5.07,15:57,14:30,91
2026-02-11,Wednesday,0.15,619.0,615.0,0.214,-0.117,4.0,24.1685,-7.8931,0.25,0.2454,0.1159,36.13,3,1.84,70.43,31.16,56.87,-3.22,83.64,-7.38,15:27,14:31,91
2026-02-18,Wednesday,0.15,603.0,599.0,0.195,-0.12,4.0,24.1868,-7.4916,0.25,0.2121,0.1162,32.83,2,1.33,132.2,58.1,55.76,35.25,149.56,-9.75,15:57,14:37,91
2026-02-23,Monday,0.15,609.0,605.0,0.207,-0.115,4.0,24.1848,-7.6439,0.25,0.2317,0.1118,34.35,6,2.65,167.38,82.38,47.0,53.4,181.89,-11.56,15:59,14:39,91
2026-02-25,Wednesday,0.15,614.0,610.0,0.203,-0.121,4.0,24.1818,-7.7677,0.25,0.2282,0.1198,34.79,4,2.02,-13.73,28.64,-16.47,-15.29,30.7,-21.46,14:51,15:54,78
2026-03-02,Monday,0.15,602.0,598.0,0.137,-0.173,4.0,24.1972,-7.4519,0.25,0.1356,0.1823,31.78,2,1.45,62.41,67.11,30.39,-22.67,96.43,-5.07,15:13,14:30,63
2026-03-04,Wednesday,0.15,608.0,604.0,0.163,-0.15,4.0,24.1935,-7.6085,0.25,0.17,0.1548,32.48,7,3.15,160.85,39.58,106.89,27.12,169.4,-5.81,15:26,14:32,76
2026-03-09,Monday,0.15,599.0,594.0,0.129,-0.196,5.0,19.365,-5.8882,0.25,0.1627,0.2742,43.69,10,3.89,229.34,141.12,123.41,-24.55,273.8,-5.07,15:18,13:30,146
2026-03-11,Wednesday,0.15,613.0,607.0,0.136,-0.109,6.0,15.7277,-5.0145,0.25,0.1767,0.1359,31.26,8,3.48,142.2,56.6,65.66,32.21,161.18,-13.07,15:34,13:59,149
2026-03-16,Monday,0.15,602.0,597.0,0.199,-0.13,5.0,19.3384,-5.9613,0.25,0.2795,0.1645,44.4,4,1.19,8.05,14.73,0.87,2.68,23.96,-5.07,15:21,13:30,123
2026-03-18,Wednesday,0.15,604.0,599.0,0.154,-0.172,5.0,19.356,-5.9924,0.25,0.2028,0.2339,43.67,4,1.52,66.79,41.28,39.06,-2.94,99.69,-9.05,15:09,13:43,93
2026-03-25,Wednesday,0.15,592.0,587.0,0.179,-0.138,5.0,19.3513,-5.7637,0.25,0.2408,0.1747,41.55,9,3.11,233.33,94.43,-12.2,161.56,244.73,-6.3,15:44,13:33,151
2026-03-30,Monday,0.15,569.0,564.0,0.18,-0.12,5.0,19.3232,-5.3182,0.25,0.2338,0.1411,37.49,8,3.31,76.54,56.37,24.02,8.66,93.37,-7.01,15:16,13:34,151
2026-04-01,Wednesday,0.15,584.0,579.0,0.144,-0.166,5.0,19.3562,-5.5999,0.25,0.1802,0.216,39.62,5,2.27,98.1,83.38,18.43,8.74,108.78,-5.07,15:58,13:30,143
2026-04-06,Monday,0.15,590.0,585.0,0.182,-0.134,5.0,19.3501,-5.7254,0.25,0.2449,0.1681,41.3,4,1.44,97.94,99.51,11.22,-2.38,123.04,-10.76,14:40,13:44,151
2026-04-09,Thursday,0.15,608.0,603.0,0.197,-0.135,5.0,19.3317,-6.0777,0.25,0.2787,0.1752,45.38,4,1.86,12.46,1.92,-8.91,30.03,18.8,-20.92,15:48,14:12,150
